subject,WTP
3001,-2.484688
3004,-2.484688
3008,-2.484688
3009,-2.484688
3010,-2.484688
3011,-2.484688
3014,-2.484688
3015,-2.484688
4003,-2.484688
4006,-2.484688
4010,-2.484688
4011,-2.484688
4013,-2.484688
4016,-2.484688
4022,-2.484688
4024,-2.484688
11006,-5.195691
11008,-5.195691
11009,-5.195691
11010,-5.195691
11012,-5.195691
11016,-5.195691
11022,-5.195691
11032,-5.195691
11034,-5.195691
12001,-5.195691
12002,-5.195691
12014,-5.195691
12029,-5.195691
12036,-5.195691
12037,-5.195691
12041,-5.195691
12054,-5.195691
13001,-5.195691
13003,-5.195691
13004,-5.195691
13007,-5.195691
13010,-5.195691
13012,-5.195691
13013,-5.195691
13019,-5.195691
15005,2.133431
15012,2.133431
15016,2.133431
15023,2.133431
15024,2.133431
15026,2.133431
15027,2.133431
15030,2.133431
23003,-2.484688
23007,-2.484688
23016,-2.484688
23027,-2.484688
23031,-2.484688
23035,-2.484688
23036,-2.484688
23039,-2.484688
27001,-2.484688
27003,-2.484688
27006,-2.484688
27009,-2.484688
27011,-2.484688
27029,-2.484688
27030,-2.484688
27039,-2.484688
31001,-2.484688
31002,-2.484688
31003,-2.484688
31004,-2.484688
31005,-2.484688
31009,-2.484688
31012,-2.484688
31014,-2.484688
36002,-5.195691
36011,-5.195691
36013,-5.195691
36018,-5.195691
36021,-5.195691
36040,-5.195691
36046,-5.195691
36053,-5.195691
38001,2.133431
38002,2.133431
38003,2.133431
38005,2.133431
38006,2.133431
38007,2.133431
38010,2.133431
38013,2.133431
39004,-5.195691
39006,-5.195691
39007,-5.195691
39011,-5.195691
39012,-5.195691
39013,-5.195691
39018,-5.195691
39023,-5.195691
40001,-2.484688
40003,-2.484688
40004,-2.484688
40005,-2.484688
40006,-2.484688
40008,-2.484688
40009,-2.484688
40011,-2.484688
42001,-5.195691
42007,-5.195691
42008,-5.195691
42010,-5.195691
42011,-5.195691
42012,-5.195691
42013,-5.195691
42018,-5.195691
42025,-5.195691
44003,2.133431
44006,2.133431
44007,2.133431
44008,2.133431
44013,2.133431
44019,2.133431
44027,2.133431
44028,2.133431
45001,2.287006
45002,2.287006
45009,2.287006
45010,2.287006
45011,2.287006
45012,2.287006
45016,2.287006
45019,2.287006
51002,2.287006
51006,2.287006
51009,2.287006
51011,2.287006
51022,2.287006
51027,2.287006
51030,2.287006
57001,2.287006
57003,2.287006
57004,2.287006
57005,2.287006
57006,2.287006
57007,2.287006
57008,2.287006
57009,2.287006
57010,2.287006
66001,-5.195691
66002,-5.195691
66003,-5.195691
66004,-5.195691
66006,-5.195691
66009,-5.195691
66010,-5.195691
74003,2.287006
74007,2.287006
74008,2.287006
74013,2.287006
74015,2.287006
74016,2.287006
74019,2.287006
74026,2.287006
95002,2.287006
95003,2.287006
95008,2.287006
95020,2.287006
95025,2.287006
95028,2.287006
95030,2.287006
95032,2.287006
98006,2.287006
98008,2.287006
98009,2.287006
98010,2.287006
98011,2.287006
98017,2.287006
98018,2.287006
98026,2.287006
99002,-5.195691
99003,-5.195691
99004,-5.195691
99007,-5.195691
99009,-5.195691
99011,-5.195691
99012,-5.195691
99013,-5.195691
100001,2.287006
100003,2.287006
100006,2.287006
100007,2.287006
100011,2.287006
100016,2.287006
100017,2.287006
102002,2.133431
102003,2.133431
102005,2.133431
102007,2.133431
102013,2.133431
102016,2.133431
102017,2.133431
102018,2.133431
103002,2.287006
103003,2.287006
103007,2.287006
103010,2.287006
103012,2.287006
103013,2.287006
103016,2.287006
103022,2.287006
109001,-2.484688
109005,-2.484688
109006,-2.484688
109007,-2.484688
109011,-2.484688
109014,-2.484688
109018,-2.484688
109025,-2.484688
111001,-5.195691
111002,-5.195691
111004,-5.195691
111006,-5.195691
111009,-5.195691
111011,-5.195691
111012,-5.195691
111016,-5.195691
112006,-5.195691
112009,-5.195691
112012,-5.195691
112016,-5.195691
112030,-5.195691
112031,-5.195691
112037,-5.195691
112040,-5.195691
114002,-2.484688
114003,-2.484688
114006,-2.484688
114007,-2.484688
114010,-2.484688
114012,-2.484688
114015,-2.484688
114016,-2.484688
117003,2.287006
117009,2.287006
117012,2.287006
117015,2.287006
117020,2.287006
117026,2.287006
117028,2.287006
117029,2.287006
121004,-5.195691
121007,-5.195691
121008,-5.195691
121009,-5.195691
121013,-5.195691
121018,-5.195691
121021,-5.195691
122001,-5.195691
122003,-5.195691
122009,-5.195691
122012,-5.195691
122018,-5.195691
122021,-5.195691
122027,-5.195691
122031,-5.195691
123001,-2.484688
123005,-2.484688
123006,-2.484688
123008,-2.484688
123015,-2.484688
123025,-2.484688
123026,-2.484688
123028,-2.484688
126001,-5.195691
126003,-5.195691
126006,-5.195691
126008,-5.195691
126009,-5.195691
126010,-5.195691
126011,-5.195691
126014,-5.195691
127004,2.287006
127006,2.287006
127007,2.287006
127008,2.287006
127012,2.287006
127018,2.287006
127020,2.287006
128001,2.287006
128003,2.287006
128007,2.287006
128008,2.287006
128010,2.287006
128012,2.287006
128013,2.287006
128017,2.287006
132009,-5.195691
132014,-5.195691
132018,-5.195691
132019,-5.195691
132025,-5.195691
132026,-5.195691
132029,-5.195691
132030,-5.195691
132031,-5.195691
134004,2.287006
134005,2.287006
134015,2.287006
134020,2.287006
134021,2.287006
134029,2.287006
134039,2.287006
134042,2.287006
137002,2.287006
137003,2.287006
137004,2.287006
137006,2.287006
137014,2.287006
137017,2.287006
137021,2.287006
137025,2.287006
148004,-2.484688
148005,-2.484688
148009,-2.484688
148011,-2.484688
148012,-2.484688
148013,-2.484688
148019,-2.484688
148034,-2.484688
160001,-2.484688
160003,-2.484688
160005,-2.484688
160008,-2.484688
160017,-2.484688
160018,-2.484688
160021,-2.484688
160027,-2.484688
161003,2.287006
161018,2.287006
161022,2.287006
161025,2.287006
161040,2.287006
161049,2.287006
161052,2.287006
161055,2.287006
165007,-2.484688
165010,-2.484688
165013,-2.484688
165015,-2.484688
165021,-2.484688
165022,-2.484688
165023,-2.484688
165041,-2.484688
167003,2.287006
167004,2.287006
167009,2.287006
167013,2.287006
167014,2.287006
167015,2.287006
167020,2.287006
167021,2.287006
172001,-5.195691
172008,-5.195691
172012,-5.195691
172017,-5.195691
172018,-5.195691
172019,-5.195691
172022,-5.195691
172031,-5.195691
180001,-5.195691
180002,-5.195691
180003,-5.195691
180004,-5.195691
180006,-5.195691
180007,-5.195691
180009,-5.195691
180012,-5.195691
182001,2.287006
182005,2.287006
182006,2.287006
182008,2.287006
182025,2.287006
182028,2.287006
182030,2.287006
182047,2.287006
184003,2.287006
184019,2.287006
184021,2.287006
184024,2.287006
184025,2.287006
184035,2.287006
184040,2.287006
184049,2.287006
201001,-5.195691
201004,-5.195691
201005,-5.195691
201006,-5.195691
201008,-5.195691
201009,-5.195691
201011,-5.195691
201012,-5.195691
215002,2.287006
215005,2.287006
215006,2.287006
215008,2.287006
215015,2.287006
215017,2.287006
215018,2.287006
215025,2.287006
217001,-5.195691
217003,-5.195691
217006,-5.195691
217012,-5.195691
217015,-5.195691
217016,-5.195691
217019,-5.195691
217023,-5.195691
219012,2.287006
219022,2.287006
219024,2.287006
219033,2.287006
219038,2.287006
219046,2.287006
219048,2.287006
219054,2.287006
220002,2.287006
220010,2.287006
220013,2.287006
220019,2.287006
220022,2.287006
220023,2.287006
220029,2.287006
220031,2.287006
227008,2.287006
227013,2.287006
227016,2.287006
227017,2.287006
227019,2.287006
227026,2.287006
227031,2.287006
227035,2.287006
229004,2.287006
229008,2.287006
229012,2.287006
229024,2.287006
229025,2.287006
229027,2.287006
229031,2.287006
229032,2.287006
231002,2.287006
